,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
0,0,True,[14.19882957 88.19097809],[14.64918466 88.45067957],1,750,0,,1,0.45035508540480085,0.7791044378806206,black,"[(14.040948899921435, 88.50823687692646)]"
1,1,False,[73.84096362 82.1179743 ],[74.27536653 82.36038104],1,0,0,,0,0.7819252359958638,0.7272202005649736,silver,"[(74.29444143029569, 82.48702064101539)]"
2,2,False,[37.30563392 14.98046466],[36.56823282 14.83054798],1,0,0,,0,0.7374011038138176,0.4497500226222384,yellowgreen,"[(36.99077765477457, 14.774961000402408)]"
3,3,False,[24.70924507 52.34777016],[24.63015866 51.68458525],1,0,0,,0,0.7117776400038414,0.8526663143740968,hotpink,"[(24.984395486474522, 53.04468330396008)]"
4,4,False,[81.4045709  77.74085272],[81.82502228 77.26078013],1,0,0,,0,0.42045138859053555,0.8641306711206196,honeydew,"[(81.86060849409603, 78.48709417462932)]"
5,5,False,[77.29225289 46.66330333],[77.32785678 46.58851676],1,0,0,,0,0.320434987291913,0.07478657159598623,tan,"[(77.43473691138954, 47.04591727448232)]"
6,6,False,[14.42303418 63.9418042 ],[13.87345763 63.99719039],1,0,0,,0,0.9892377976410677,0.09969515219184888,turquoise,"[(14.345984116587278, 64.2533551513593)]"
7,7,False,[20.94170963 39.78538927],[21.1438278  38.82528324],1,0,0,,0,0.3638127060810519,0.9601060330348581,cyan,"[(22.05185872259549, 38.77227652654581)]"
8,8,False,[94.05254959 13.68205688],[93.12094458 14.30315318],1,0,0,,0,0.9316050086603507,0.7985523843153267,coral,"[(93.36367205124442, 13.100681263208772)]"
9,9,False,[47.91493422 80.94991679],[47.74711168 80.95161109],1,0,0,,0,0.5034676392716915,0.015248655959436919,mistyrose,"[(47.30963691731715, 81.70424453487378)]"
10,10,False,[80.86786303 80.2230787 ],[80.76424299 80.3229285 ],1,0,0,,0,0.13322576414731868,0.8986481845297691,darkgoldenrod,"[(79.81973430298126, 79.51354676610752)]"
11,11,False,[16.33658802 43.3881286 ],[16.11036215 43.22150597],1,0,0,,0,0.6786775990846329,0.4998678864571725,skyblue,"[(16.507300369161293, 44.01094264097028)]"
12,12,False,[28.41277138 75.24173516],[28.47476859 75.28808622],1,0,0,,0,0.5579749167365882,0.13905315715552513,skyblue,"[(27.250743189185815, 74.9791337532707)]"
13,13,False,[86.66948552 38.92964436],[86.94593434 39.55843665],1,0,0,,0,0.8293464654373138,0.6287922810966433,slategray,"[(86.29428824387355, 38.366061083968596)]"
14,14,False,[83.2677915  66.79650236],[83.86863179 66.80481424],1,0,0,,0,0.6008402944574242,0.07480689216267777,firebrick,"[(83.95498131924766, 66.79074086895103)]"
15,15,False,[49.45802106 82.30130472],[49.89065234 82.17427833],1,0,0,,0,0.4326312793782795,0.22864749803927276,peru,"[(49.123794891297756, 83.10293388062043)]"
16,16,False,[95.0290244  11.01737293],[95.34453726 10.86760786],1,0,0,,0,0.40565938302798876,0.26957713361196156,olivedrab,"[(94.63565099485258, 11.474375196303146)]"
17,17,False,[26.7530358  92.52752443],[26.94032547 92.12332875],1,0,0,,0,0.3371214121766023,0.7275522206092567,rebeccapurple,"[(27.346262155668164, 91.89660208220823)]"
18,18,False,[62.72647811 25.2949559 ],[62.74033265 26.15256046],1,0,0,,0,0.12469085833682636,0.857604557984603,lightgrey,"[(62.70275600200674, 25.130434932807407)]"
19,19,False,[48.47499506 55.24443761],[48.45117153 55.58790361],1,0,0,,0,0.2144117411999642,0.6182388061500032,yellow,"[(47.888666442747734, 54.39504068530183)]"
20,20,False,[ 4.5714422  56.62223381],[ 4.24445497 56.66599496],1,0,0,,0,0.9809616925227701,0.1312834493892362,lemonchiffon,"[(5.2315073380193535, 57.093971905888424)]"
21,21,False,[70.13358734 65.44891629],[69.7968668  66.03404421],1,0,0,,0,0.43292640973218766,0.7523073221439044,indigo,"[(70.05598179029201, 64.50456959342466)]"
22,22,False,[71.5164819  96.71896128],[71.21879298 96.47140595],1,0,0,,0,0.3827429061012819,0.4455995906606064,mediumorchid,"[(71.74337817379427, 96.91663017275083)]"
23,23,False,[70.89928845  6.30295874],[70.95020957  6.29868565],1,0,0,,0,0.45829013176382216,0.03845786996157097,linen,"[(70.53171073026073, 6.867417277796505)]"
24,24,False,[97.88244062 99.89480557],[96.90487022 99.90644088],1,0,0,,0,0.9775704035981453,0.10471778415055744,lightcoral,"[(98.09246376052478, 99.59277521180874)]"
25,25,False,[46.39598275 83.28812837],[46.7057716  83.93416198],1,0,0,,0,0.30978885644136944,0.8306146378904385,mediumspringgreen,"[(46.24596681484979, 83.99980370997862)]"
26,26,False,[90.03226779 98.66818714],[90.22098432 98.42559804],1,0,0,,0,0.18871653146504463,0.43666038410244346,blanchedalmond,"[(90.95533564488969, 99.15576207201141)]"
27,27,False,[39.62117307 57.77687928],[39.33435641 57.73673254],1,0,0,,0,0.5162699889549366,0.07226414906439949,mediumturquoise,"[(39.81796466486333, 56.987347994370424)]"
28,28,False,[13.26815955 60.61160586],[13.79247045 60.3055941 ],1,0,0,,0,0.6741140169680429,0.5508211611271188,powderblue,"[(13.073762366230353, 61.00143831320193)]"
29,29,False,[92.87135462 36.36307496],[92.93703055 36.29247991],1,0,0,,0,0.08444047609550753,0.6353554606938328,lightgoldenrodyellow,"[(94.35599822347292, 37.26572423905378)]"
30,30,False,[39.78063596 93.48243102],[39.820206   93.49757551],1,0,0,,0,0.3561303623215082,0.019471495630460467,darkblue,"[(39.36839517952094, 92.78105184239443)]"
31,31,False,[96.57319124 29.99895058],[97.23894656 29.69254642],1,0,0,,0,0.6657553185837286,0.39394819538886183,lightpink,"[(96.94853241439553, 29.325260274001817)]"
32,32,False,[88.41127604 18.3666194 ],[88.71099028 18.88294469],1,0,0,,0,0.5394856295442084,0.6638467949942686,mediumaquamarine,"[(88.86819476214929, 17.96918309223756)]"
33,33,False,[33.56316925 62.13677882],[33.47478482 62.92683858],1,0,0,,0,0.2651532940568576,0.7900597616898349,skyblue,"[(33.67112104886078, 61.68615866033801)]"
34,34,False,[57.05100909 74.38001449],[56.96594085 73.95866254],1,0,0,,0,0.2552047048741486,0.5417382272233212,steelblue,"[(57.753967169441445, 75.26630503935824)]"
35,35,False,[44.72967677 26.68901017],[45.40931826 26.08501551],1,0,0,,0,0.8738247693041478,0.7765645613861335,lightcyan,"[(44.93252082729252, 26.70967874583658)]"
36,36,False,[39.1454952 40.2323848],[38.41814774 40.47695014],1,0,0,,0,0.7273474586265557,0.24456534442635636,linen,"[(39.922908366699495, 40.36770643284302)]"
37,37,False,[27.33210477 18.73601498],[27.27601578 19.11588437],1,0,0,,0,0.5048008449381319,0.6837649087490673,darkgrey,"[(28.71464443376662, 18.928992010644258)]"
38,38,False,[74.33678396 21.91386145],[73.8966953  21.71245069],1,0,0,,0,0.44008865250945406,0.6042322572836932,darkgrey,"[(75.04480079612483, 21.63911732927875)]"
39,39,False,[ 2.43261923 90.78053427],[ 3.25715603 91.02188868],1,0,0,,0,0.8245367992421402,0.7240632313920825,teal,"[(2.8186206139395256, 91.13313889747553)]"
40,40,False,[77.08289468 97.26740947],[77.17134505 97.01200614],1,0,0,,0,0.7960533160134542,0.45972598716782487,peru,"[(77.33904551150644, 97.11656600979582)]"
41,41,False,[ 3.31101074 99.25561472],[ 3.28698982 98.81824521],1,0,0,,0,0.2161883471292303,0.787265126391634,mediumorchid,"[(3.966138526750553, 99.72680978055553)]"
42,42,False,[51.17700357 63.21871274],[51.51465171 63.33708009],1,0,0,,0,0.6077666538890073,0.1521866032742598,chocolate,"[(51.46864077668025, 63.42933221239757)]"
43,43,False,[43.78769025  5.57407689],[43.69865106  5.24029735],1,0,0,,0,0.11447895585498435,0.6008031713046369,lime,"[(42.99783842227977, 4.887726946182631)]"
44,44,False,[98.09827677 53.9388901 ],[98.42714355 53.46368424],1,0,0,,0,0.3288667781877014,0.8553705435988188,tan,"[(97.43438590369034, 54.82508320877287)]"
45,45,False,[56.15427801 56.76741112],[56.23353023 56.508226  ],1,0,0,,0,0.7132700489753845,0.4665332094223468,darkgray,"[(56.54273177278605, 56.06680346138685)]"
46,46,False,[36.72960117 82.88754054],[35.82859152 82.40824138],1,0,0,,0,0.9010096436443424,0.8627384752464331,mediumvioletred,"[(37.39778714822172, 83.21828599102942)]"
47,47,False,[ 7.9844858 28.0901613],[ 7.53946781 28.25194576],1,0,0,,0,0.8010323865646892,0.48535336976698495,lightpink,"[(8.369447966052576, 27.925904902716134)]"
48,48,False,[71.76890972 36.20681708],[71.71536477 36.56758866],1,0,0,,0,0.4819045394775947,0.3607715764014279,white,"[(71.21324666703478, 35.85404234015005)]"
49,49,False,[14.68078615 68.57350695],[14.98238486 68.63677839],1,0,0,,0,0.3015987070110909,0.5694429568765943,lightskyblue,"[(14.730005993110492, 68.62102365734596)]"
50,50,False,[70.013899   55.74095122],[69.92493283 55.80688596],1,0,0,,0,0.8006955257878674,0.197804234432852,paleturquoise,"[(70.29849209968718, 57.03463454024556)]"
51,51,False,[53.15561421  0.14868811],[52.91413329  0.27518785],1,0,0,,0,0.4346656548078984,0.1264997390661874,darkorange,"[(50.91115141903317, 1.019042224230911)]"
52,52,False,[19.54620941 35.23492543],[18.88325381 35.1650876 ],1,0,0,,0,0.852371484256995,0.6285404504114848,lightyellow,"[(19.724592714062705, 35.640505921798876)]"
53,53,False,[27.21569462 37.18170288],[27.43792859 37.45674055],1,0,0,,0,0.22223396097306525,0.35361986348400753,mintcream,"[(26.065591001967768, 36.85280953808494)]"
54,54,False,[98.04094442 99.36884381],[97.29881385 99.16006241],1,0,0,,0,0.7421305745324814,0.26843323228823557,darkslateblue,"[(98.80142157348156, 99.53172081053704)]"
55,55,False,[97.50742333 41.72086289],[97.20921003 41.59701549],1,0,0,,0,0.5367839479691312,0.12384740667031247,brown,"[(97.79249897886575, 41.995264099814904)]"
56,56,False,[25.17731217 31.91261873],[25.26566039 31.8839064 ],1,0,0,,0,0.08834822507222584,0.25841096935973373,gray,"[(26.05512542438938, 31.491392757414836)]"
57,57,False,[93.39454255 14.3754185 ],[93.63898925 14.44275763],1,0,0,,0,0.7333400946126862,0.20201740509525945,mediumpurple,"[(93.04062226069232, 13.339927350934373)]"
58,58,False,[79.41322983 55.72602662],[79.24059069 56.23827104],1,0,0,,0,0.1726391385213768,0.6585999681529394,darksalmon,"[(80.05437819439602, 55.20504641275449)]"
59,59,False,[46.58136281 50.80892309],[46.54810565 50.87520808],1,0,0,,0,0.2993144203726562,0.5965648510585977,lightseagreen,"[(47.14582698163624, 51.324448413498125)]"
60,60,False,[77.43043865 58.05448523],[77.53189173 58.21934315],1,0,0,,0,0.10145308304846323,0.4945737395744396,lightgray,"[(77.00252849342418, 58.24555655903635)]"
61,61,False,[25.84705936  6.04872713],[25.78859244  5.20911084],1,0,0,,0,0.07517174482050704,0.8396162930138764,ghostwhite,"[(23.785393470319747, 6.2805642085232645)]"
62,62,False,[76.31651125 68.3448777 ],[77.00137076 67.72764941],1,0,0,,0,0.8805336636339919,0.7935792325572012,forestgreen,"[(76.48851544762707, 69.5535359058216)]"
63,63,False,[99.95443203  5.79693572],[99.96506577  5.99979181],1,0,0,,0,0.5044456774599559,0.7542485119463009,rebeccapurple,"[(99.79573702144816, 4.9303170107737)]"
64,64,False,[20.15817341 18.40352438],[19.8868993  18.72732553],1,0,0,,0,0.34878100214999874,0.4163157753513069,oldlace,"[(19.94001124970989, 17.89637994273777)]"
65,65,False,[49.79687661 44.45300079],[49.78078135 43.78151529],1,0,0,,0,0.048285765727183017,0.671485508762009,cadetblue,"[(50.09833459809102, 43.735201365003896)]"
66,66,False,[50.02082537 19.58213155],[49.43912327 19.90405465],1,0,0,,0,0.5817021019721491,0.3219230995364102,darkgreen,"[(49.98328091880148, 18.32578256805599)]"
67,67,False,[13.30861531 79.83131425],[13.60751393 79.91826305],1,0,0,,0,0.8966958679483971,0.26084641471505843,mediumorchid,"[(13.447510287444974, 79.93607532611038)]"
68,68,False,[79.16557637 56.5842554 ],[79.37964973 56.64175891],1,0,0,,0,0.6422200731947736,0.17251051369787596,brown,"[(78.5876178137045, 56.00510304399734)]"
69,69,False,[29.05882438 22.66826132],[29.09452764 22.91330476],1,0,0,,0,0.10710980480641585,0.24504343885916036,lightgray,"[(28.993766118259735, 23.4149467998755)]"
70,70,False,[99.96771943 11.51409306],[99.99802168 11.69932387],1,0,0,,0,0.3899493362435479,0.6843310602474459,mediumspringgreen,"[(99.88221155108013, 11.252549438648954)]"
71,71,False,[99.18931471 93.09453043],[99.03385066 92.79603278],1,0,0,,0,0.4663921555698324,0.5372957716686185,royalblue,"[(98.98171481039346, 92.07792444456356)]"
72,72,False,[28.53706549 88.53298497],[28.62431027 88.04319237],1,0,0,,0,0.08724478287748816,0.48979260172892913,honeydew,"[(28.45660465897018, 88.73541991795267)]"
73,73,False,[ 1.10943314 53.39809717],[ 1.45213445 53.46974256],1,0,0,,0,0.3427013016705026,0.6448085611129916,red,"[(0.32790843111052703, 54.97213349844109)]"
74,74,False,[73.50560797 58.71159858],[73.64742599 58.92854095],1,0,0,,0,0.14181801948216055,0.6508271135214003,black,"[(73.98004976433198, 58.07876737988145)]"
75,75,False,[92.97174848 68.77943933],[92.82772893 68.46429126],1,0,0,,0,0.18516798464272977,0.31514806654489025,silver,"[(91.00282628035825, 69.04539834343996)]"
76,76,False,[32.1796128 46.1800391],[32.3010048  46.19908138],1,0,0,,0,0.12139200304513131,0.171380483818943,orchid,"[(31.94124076840361, 46.57600227908896)]"
77,77,False,[38.41722214 42.19455882],[38.1607543  42.02858443],1,0,0,,0,0.32974437114389576,0.29875389864551627,mintcream,"[(37.948898104796115, 41.59025553562571)]"
78,78,False,[44.43175301 79.9588159 ],[45.01023601 79.2708204 ],1,0,0,,0,0.7437638575115075,0.8845656347990823,rebeccapurple,"[(44.58654685578356, 79.67683728306841)]"
79,79,False,[51.07332594 76.59711456],[51.69018181 76.58406228],1,0,0,,0,0.7931004074990939,0.1174705712961931,darkgray,"[(50.617798883689034, 77.04801065132564)]"
80,80,False,[20.16653046 40.58075224],[20.4685161  40.10287115],1,0,0,,0,0.9059569375773694,0.4778810803878196,floralwhite,"[(18.963976304681026, 40.48505324629868)]"
81,81,False,[41.00502687 40.38733918],[40.7946314  40.55670518],1,0,0,,0,0.3787118376137252,0.3048588119222744,blueviolet,"[(40.88906112333135, 40.90348845568929)]"
82,82,False,[21.77894331 28.14952434],[22.05062565 27.96570694],1,0,0,,0,0.2716823372137628,0.23633665521825553,purple,"[(21.63710267433009, 28.119019049311248)]"
83,83,False,[44.05808441 41.25677022],[43.82836291 40.95285448],1,0,0,,0,0.2297214982786363,0.9117472198003713,lightgoldenrodyellow,"[(43.89175525352855, 42.716450251300124)]"
84,84,False,[47.66865447 51.96603855],[47.64857017 51.94166868],1,0,0,,0,0.18075869149699542,0.2193287862750808,royalblue,"[(45.93575916315905, 51.69084900767182)]"
85,85,False,[16.62453953  8.44006561],[16.77696903  8.44573633],1,0,0,,0,0.1959807854991329,0.05103646427352415,coral,"[(16.42972875815663, 8.651216882296374)]"
86,86,False,[73.60632669 34.49002863],[73.12890426 35.2520552 ],1,0,0,,0,0.6138288434614311,0.7620265723179945,fuchsia,"[(73.22523859085501, 34.29253732194961)]"
87,87,False,[ 3.13756107 58.17722291],[ 3.170407   58.01532645],1,0,0,,0,0.04223046880860204,0.2914136135493888,coral,"[(3.4095014335423923, 57.294581530114606)]"
88,88,False,[70.39155727 13.78049099],[70.87524697 13.31009978],1,0,0,,0,0.8706414567249989,0.8467041783928074,fuchsia,"[(70.14014997566385, 14.586372214048549)]"
89,89,False,[12.90227084 70.56304463],[12.02701332 71.3879806 ],1,0,0,,0,0.8752575230205,0.824935972975049,darkgoldenrod,"[(13.680525333747957, 70.10440450277677)]"
90,90,False,[28.36258039 38.78241722],[28.03800084 38.72247822],1,0,0,,0,0.9737386739575125,0.5394510166049076,tan,"[(28.1057096907265, 38.79681634431873)]"
91,91,False,[42.98490123 85.04545133],[43.31250586 84.97823282],1,0,0,,0,0.5896883477050274,0.6049665509692387,darkslategray,"[(44.09492282180089, 85.55998572053697)]"
92,92,False,[90.28008949 63.87093676],[89.90371189 64.3279246 ],1,0,0,,0,0.677479674730521,0.8225781282496846,mediumpurple,"[(91.80854730759303, 63.10633186085492)]"
93,93,False,[77.16435931  3.79416679],[77.24542295  3.86513373],1,0,0,,0,0.14591456639658762,0.6387024709476096,peru,"[(77.03514497969451, 3.406910636251206)]"
94,94,False,[81.61571757 93.71430129],[81.67761346 93.09947006],1,0,0,,0,0.1856876733779541,0.6148312353560271,aquamarine,"[(81.81997732787676, 94.74015153247937)]"
95,95,False,[ 9.60767934 80.53660235],[ 9.63618247 80.52729376],1,0,0,,0,0.03664687485459428,0.027925759278935036,lightseagreen,"[(9.638795572969192, 79.63191530890772)]"
96,96,False,[48.94271857  7.60016965],[49.12278464  7.62629269],1,0,0,,0,0.23151352913552026,0.0335867539403778,dimgrey,"[(49.19502711389627, 8.46761781226015)]"
97,97,False,[53.62983561 97.56697499],[53.92003529 97.92218812],1,0,0,,0,0.8705990228841259,0.35521312480100276,mediumseagreen,"[(53.626198124215954, 97.94972475222079)]"
98,98,True,[14.92079553 89.19103474],[14.61842361 89.15457022],1,749,0,0.0,0,0.388763894306292,0.10939355928696926,green,"[(15.05257992647639, 89.01807471672294)]"
99,99,False,[74.57989801 25.8442226 ],[75.35533813 25.86388525],1,0,0,,0,0.9969944416122355,0.17696382383456288,orange,"[(75.1611798656005, 27.09258524607705)]"
100,100,False,[16.85840764 49.37922415],[16.89170516 49.4364873 ],1,0,0,,0,0.2996776651927294,0.10307365695949866,darkseagreen,"[(16.626637378806493, 48.547894199606915)]"
101,101,False,[88.27970436 76.6584526 ],[88.21969906 76.26151373],1,0,0,,0,0.10800953926003998,0.7144899711132972,black,"[(86.9586836590273, 76.41625791389919)]"
102,102,False,[40.65228497 42.40861196],[40.93182112 42.45304749],1,0,0,,0,0.8386084369241842,0.1333065928298156,orangered,"[(40.235861554082234, 42.87964119667889)]"
103,103,False,[81.72131548 84.3328073 ],[82.05169925 84.33704871],1,0,0,,0,0.9911513220145571,0.03817266646859607,plum,"[(81.61479184953743, 84.58528403473893)]"
104,104,False,[98.33524741 41.42688025],[97.84818868 40.80387403],1,0,0,,0,0.8767057198637794,0.8010080007734649,mistyrose,"[(98.54529486035308, 41.92480106368625)]"
105,105,False,[56.80161052 15.62180536],[57.0406145  14.94280851],1,0,0,,0,0.23900398060822414,0.6789968509054317,firebrick,"[(57.04911755019188, 14.769326964995457)]"
106,106,False,[12.47448292 65.62504476],[11.4952868 65.933149 ],1,0,0,,0,0.9791961195124852,0.39613402534003206,plum,"[(12.057802271841162, 65.84740869916718)]"
107,107,False,[51.53942156 12.01026443],[51.56330729 12.05905248],1,0,0,,0,0.07165718813488242,0.43909251365325797,beige,"[(51.569804748005346, 11.644528023013597)]"
108,108,False,[73.6829795  85.40005679],[74.42668964 85.62546049],1,0,0,,0,0.7437101374519008,0.6762111034396732,silver,"[(74.08053894800935, 84.92199197101364)]"
109,109,False,[50.73691028 17.34932071],[50.65139138 17.35631382],1,0,0,,0,0.2565566789628202,0.06293804260295299,mediumseagreen,"[(50.33103914533932, 17.96151607884312)]"
110,110,False,[ 0.29886523 65.39019063],[ 0.24744171 65.42295832],1,0,0,,0,0.46281161577309904,0.29490920046466285,teal,"[(0.23620853488860294, 65.76987023111086)]"
111,111,False,[59.57727261 24.4964572 ],[59.62406268 24.48976177],1,0,0,,0,0.084222129737476,0.06025894327083248,skyblue,"[(59.47810352939087, 25.011481539103833)]"
112,112,False,[77.67137163 95.23788047],[77.49415283 95.74044586],1,0,0,,0,0.5316564043896446,0.646155504663194,aliceblue,"[(78.12804448116145, 95.2744114861852)]"
113,113,False,[ 6.05656636 53.46186781],[ 6.13131614 53.65553445],1,0,0,,0,0.6727480208457228,0.24899997109563188,peru,"[(6.07274160587632, 54.49632889747017)]"
114,114,False,[41.54788472  8.28983534],[41.55578752  8.26177761],1,0,0,,0,0.023708405249637243,0.08417319521221311,limegreen,"[(41.50924897559661, 7.504971842195109)]"
115,115,False,[55.18236043 90.3706734 ],[56.05221862 90.37952549],1,0,0,,0,0.8698581886247927,0.07966885293217729,whitesmoke,"[(55.71197802763692, 91.60187348743803)]"
116,116,False,[26.8138646  56.46180921],[27.1223559  56.56038336],1,0,0,,0,0.3966316684682307,0.29572244862256647,navy,"[(26.205158241577934, 56.34864826933914)]"
117,117,False,[97.74664797 69.2106601 ],[97.61227469 68.55728945],1,0,0,,0,0.13437328091201917,0.6533706541775243,mediumaquamarine,"[(97.0890965586979, 69.0420125940624)]"
118,118,False,[32.39937248 90.67931947],[32.87106806 90.7447947 ],1,0,0,,0,0.6064657523766429,0.1964256839115357,darkorchid,"[(32.903187465223716, 91.07771609508704)]"
119,119,False,[99.42105511 36.33996545],[99.45932718 36.91306405],1,0,0,,0,0.06888972128836535,0.7368410506235827,darkviolet,"[(99.94859349440364, 35.82891782265538)]"
120,120,False,[37.5604313  43.08849603],[37.51313993 42.22692001],1,0,0,,0,0.42562231760105007,0.8615760188117789,powderblue,"[(38.06835993011329, 42.99509038520118)]"
121,121,False,[ 7.63825048 21.57325261],[ 8.11993275 21.5594064 ],1,0,0,,0,0.8670280884664746,0.04153862166373856,palegoldenrod,"[(6.968404353627053, 22.094425270888188)]"
122,122,False,[52.17685258 56.24112707],[52.06663895 56.04208979],1,0,0,,0,0.1417032398580984,0.19903728794619313,palegreen,"[(51.9752633609686, 56.05522807741943)]"
123,123,False,[ 3.17110651 38.8128845 ],[ 3.21910509 39.08989829],1,0,0,,0,0.1439957544153193,0.8310413767432245,darkviolet,"[(3.322591806501304, 38.59122518344333)]"
124,124,False,[15.50514191 33.38372304],[15.60691159 33.28153465],1,0,0,,0,0.9159271419069136,0.9196954644469308,mediumslateblue,"[(15.511594477258027, 32.85153917654057)]"
125,125,False,[82.04020155 36.41809781],[81.48848947 35.79162362],1,0,0,,0,0.551712082930614,0.626474188400318,coral,"[(81.80221676992977, 36.88438731860258)]"
126,126,False,[29.4381935  99.82142799],[28.18516061 99.81055275],1,0,0,,0,0.9614785105293124,0.9957802474660283,palegreen,"[(28.614180595133387, 98.85546738410473)]"
127,127,False,[60.48455447 63.32287244],[60.56109438 63.72843853],1,0,0,,0,0.07653991372086089,0.7300189731197806,violet,"[(60.92158576412209, 64.17245850585087)]"
128,128,False,[20.9254892  33.14472525],[19.94935321 32.83592212],1,0,0,,0,0.9761359885550055,0.5558456415106386,firebrick,"[(20.367316841936788, 32.47739860011525)]"
129,129,False,[ 3.61590832 14.22022906],[ 3.9103836  14.79112611],1,0,0,,0,0.5300555049389529,0.5708970480203741,darksalmon,"[(4.127147416981071, 13.915505949845585)]"
130,130,False,[26.57354964 30.83189282],[25.57543863 30.55266934],1,0,0,,0,0.9981110151317609,0.35900161796741537,lightslategray,"[(26.41146827440899, 30.842965097038284)]"
131,131,False,[ 2.52639819 72.60001812],[ 2.65079145 72.85915079],1,0,0,,0,0.1599341896551948,0.3331705769905665,magenta,"[(1.9127328660350684, 73.35423338546518)]"
132,132,False,[ 5.05181142 58.29596019],[ 4.95387712 58.30475079],1,0,0,,0,0.2938028910152485,0.0263717775105744,tomato,"[(5.4055498816225, 58.43581211015362)]"
133,133,False,[99.74487244 84.93630526],[99.74986252 85.64847014],1,0,0,,0,0.014970258331519326,0.9156405550241187,mediumspringgreen,"[(99.99008653440869, 83.77507319512479)]"
134,134,False,[ 6.72840159 79.02107961],[ 6.84511992 78.45266396],1,0,0,,0,0.1500664200198777,0.5684156524103458,palevioletred,"[(7.072696140092339, 79.89915399815692)]"
135,135,False,[97.03804044 33.08618515],[97.11650444 33.98545701],1,0,0,,0,0.7061760659350346,0.8992718616280506,lightsalmon,"[(97.10582607949473, 34.16310605284214)]"
136,136,False,[29.19264969 29.73769638],[28.45176636 30.21984479],1,0,0,,0,0.7408833348053164,0.4821484092523951,mediumspringgreen,"[(28.465502834180263, 29.129596696363077)]"
137,137,False,[99.76820007 63.53672639],[98.78500503 63.64138575],1,0,0,,0,0.9831950367248751,0.3139780663836389,olive,"[(99.93941958809188, 64.11765502396185)]"
138,138,False,[50.89474892 45.1128463 ],[51.01632577 45.19770427],1,0,0,,0,0.21883833134138453,0.7637216952705128,seashell,"[(51.389751550809, 45.014814838134754)]"
139,139,False,[16.03366373 99.3514987 ],[15.69434268 99.82841671],1,0,0,,0,0.4362699176894421,0.858452402574391,oldlace,"[(15.775284301841761, 98.94720042841124)]"
140,140,False,[99.3473533  36.55849713],[99.60235424 37.24730935],1,0,0,,0,0.7650028207494415,0.6888122207378194,lightyellow,"[(98.65212251306723, 36.58470907269593)]"
141,141,False,[48.87661176 85.26149915],[47.96442233 85.2781861 ],1,0,0,,0,0.9121894315952228,0.03003651706245125,lightyellow,"[(47.626040066440446, 85.37313171760658)]"
142,142,False,[22.40065601 14.98862628],[22.16962531 15.0692929 ],1,0,0,,0,0.4158552505617341,0.7259995378384619,gray,"[(21.56669516604704, 14.869399858459769)]"
143,143,False,[65.09835694 73.11041161],[65.87131939 72.88698593],1,0,0,,0,0.9938088583850105,0.22342567756852416,mediumseagreen,"[(65.89903696032265, 74.08769207784027)]"
144,144,False,[74.72307724 80.90167145],[75.50645872 81.68057182],1,0,0,,0,0.7833814754694922,0.778900366042856,plum,"[(75.31065522375131, 82.89606507145469)]"
145,145,False,[27.82723983  0.86589227],[27.78212435  0.86728638],1,0,0,,0,0.4060392717463428,0.012546932583886616,darkseagreen,"[(45.382662373164884, 0.09644899649013183)]"
146,146,False,[43.00232038 14.29242255],[42.96488788 14.5155063 ],1,0,0,,0,0.336892438107966,0.2868219705452568,turquoise,"[(42.958749935957506, 15.601769833675341)]"
147,147,False,[73.89147816 35.33416031],[73.67980564 35.41412685],1,0,0,,0,0.27215037041663714,0.7196988188831348,linen,"[(74.39623566203873, 34.383192968116575)]"
148,148,False,[50.57001475 71.92291949],[51.43475667 71.54168015],1,0,0,,0,0.8647419176843856,0.38123933831344836,darkgoldenrod,"[(50.282345730673725, 71.82937586167021)]"
149,149,False,[ 8.29566752 81.39311506],[ 8.25852937 81.4055548 ],1,0,0,,0,0.04774904839472016,0.1119576862770556,rosybrown,"[(8.262972996088395, 82.24579049792746)]"
